time,x_pos,x_dot,theta,theta_dot,input_u
6.32,0.07207073546461085,-0.1784842573083114,0.022355615104316866,0.06905530246298888,0.46844793158260417
6.34,0.06858911142796972,-0.169690211987779,0.023606566592610588,0.05619860339078063,0.46570633690278934
6.36,0.06528235194223217,-0.161011703095236,0.024610294317046713,0.04435039789137731,0.45850229313101776
6.38,0.062147381131185966,-0.15252188832460262,0.025387850383513398,0.03359090279717513,0.4478837837270503
6.4,0.05917985262476678,-0.14427509517119655,0.025961439731147753,0.023956604715632247,0.4347657371785301
6.42,0.05637450032105445,-0.13630938815794003,0.026353628200196266,0.015448398767650888,0.41993463340294185
6.44,0.05372543897130045,-0.128649012288095,0.02658670552682631,0.00803893667472044,0.40405538629886
6.46,0.0512264174421498,-0.12130667691242966,0.026682187195478824,0.0016791631513853639,0.3876798579012936
6.48,0.048871028108130085,-0.11428565562991926,0.02666043891540542,-0.0036959556680030052,0.37125645205814295
6.5,0.04665287621550786,-0.10758168751789451,0.026540407766306263,-0.00816248849142167,0.35514032274134133
6.5200000000000005,0.044565713269649025,-0.10118467302988639,0.026339444679891317,-0.011803341629641395,0.3396038129346345
6.54,0.04260353856344282,-0.09508016444361692,0.026073203802912642,-0.014704759200077744,0.32484681378648556
6.5600000000000005,0.040760672912646144,-0.08925065593328396,0.025755605347467923,-0.016953464338645974,0.31100679999314174
6.58,0.03903180852076042,-0.08367668232910708,0.02539884971189368,-0.018634380551730872,0.2981683560639605
6.6000000000000005,0.0374120386838062,-0.07833773856179706,0.02501347189644707,-0.019828870356758746,0.28637205931446175
6.62,0.03589687078376272,-0.07321303381476367,0.024608426497888473,-0.020613428367765772,0.2756226293969399
6.640000000000001,0.034482225725271216,-0.06828209565987607,0.024191194810392152,-0.021058767569143322,0.26589629130528375
6.66,0.03316442665762511,-0.06352524006190813,0.023767906759100565,-0.0212292403194656,0.25714732956244635
6.68,0.03194017950474349,-0.058923923220375346,0.023343471526146214,-0.021182539316583114,0.24931383625802717
6.7,0.030806547509192077,-0.05446099088213976,0.022921711782129848,-0.02096962805775277,0.2423226753259601
6.72,0.029760921689770375,-0.0501208400990791,0.02250549739901653,-0.02063485500924292,0.23609370052682685
6.74,0.02880098882135319,-0.045889507505940806,0.022096875387654712,-0.020216210562570357,0.2305432756094333
6.76,0.027924698274618426,-0.0417546971265704,0.02169719357265441,-0.019745690739296672,0.2255871526369055
6.78,0.02713022880472652,-0.03770575954357525,0.02130721619006105,-0.019249736385712764,0.22114276900955293
6.8,0.026416484461998613,-0.0326879383356326,0.020925645289269566,-0.02188678727254141,0.5508359159224636
6.82,0.025979893995689875,-0.011833355188175144,0.019958049473590728,-0.0723814313422821,0.9597707724822571
6.84,0.025912728312875426,0.004394904681393924,0.018116029716800874,-0.10983579245853942,0.7364276534285673
6.86,0.026128241094794752,0.01650645702448625,0.015638397089859615,-0.1362208509883329,0.5347244274397148
6.88,0.02654846250199518,0.024939548559881043,0.012730125042988481,-0.15316322972696622,0.35537551439803927
6.9,0.027104249954256993,0.030136428139758253,0.009564609978541307,-0.1621904147886661,0.1983855859142028
6.92,0.027735244008642697,0.03253140247591306,0.00628584488901014,-0.1647128684891124,0.06319638730005511
6.94,0.02838961261279987,0.032541564360975835,0.0030108823688130364,-0.16201279002906882,-0.05118269137906771
6.96,0.029023633974538887,0.03055987306578454,-0.00016753487763985185,-0.15523842977571284,-0.14606021315644813
6.98,0.02960116194204707,0.026950273780961088,-0.0031782768787612307,-0.14540294989449784,-0.2229639892474876
7.0,0.030093011653008445,0.02204455654429961,-0.005969144225737338,-0.13338691836255034,-0.283557302601076
7.0200000000000005,0.03047629739608812,0.01614067339164249,-0.008504265240749055,-0.11994362110714167,-0.32956907493213317
7.04,0.03073374921440465,0.009502254049250891,-0.01076162151108594,-0.10570647499095175,-0.3627368455806662
7.0600000000000005,0.030853029820866365,0.0023590841272778653,-0.012730737434002708,-0.0911979200904334,-0.38476134271343604
7.08,0.030826068920270303,-0.005091665544641681,-0.014410557909719113,-0.07683926124399672,-0.3972713884154667
7.1000000000000005,0.03064842805500005,-0.012683644913604235,-0.01580752858886518,-0.06296101474955385,-0.40179787997096467
7.12,0.03031870560713591,-0.02027912808462459,-0.016933885002723123,-0.04981339537146119,-0.39975562186044594
7.140000000000001,0.029837988585107417,-0.02776655270160827,-0.017806150340600152,-0.03757665085263633,-0.3924318393738318
7.16,0.029209355273962116,-0.035057911872884324,-0.018443836440086618,-0.026371015607577198,-0.38098027883898067
7.18,0.028437430704633546,-0.0420860947560839,-0.01886833857076517,-0.016266112139310895,-0.3664198857566154
7.2,0.027527993918675824,-0.04880376468558293,-0.019102007844364416,-0.007285146426540106,-0.4658096706808079
